Date,Actual Trading Date,Event,Strategy,State,Asset,Portfolio,Drawdown,RVol,VR,SPY vs 200 SMA,Credit,RVol > QLD,VR > QLD,SPY Breakdown,Credit Crisis,Donchian Break,Donchian Confirmed,State Changed,Transition Reasons,TQQQ Close,QLD Close,QQQ Close,Checkpoint Return
2026-03-30,2026-03-30,Iran-war drawdown,A-RVol v3 (NASDAQ 2-State Cash),DEFENSIVE,CASH,37396199256.78078,-0.38243334887196123,0.1811813254369945,0.9637448483901367,-0.03977285717358536,0.00534541443353409,True,False,True,False,True,False,False,,,,,-0.38243334887196123
2026-06-02,2026-06-02,Latest/current peak,A-RVol v3 (NASDAQ 2-State Cash),MODERATE,TQQQ,56158687063.02869,-0.07258670692387126,0.14255988210954268,0.924848179125781,0.11722502234640508,-0.0035892243877830854,False,False,False,False,False,False,False,,,,,0.5017217840084602
2000-03-27,2000-03-27,Dot-com peak,A-RVol v3 (NASDAQ 2-State SQQQ),DEFENSIVE,SQQQ,53047.1872032386,-0.9200515118953322,0.45943480176615736,1.267985764374232,0.11022538583421482,,True,True,False,False,False,False,False,,,,,
2002-10-04,2002-10-04,Dot-com max drawdown,A-RVol v3 (NASDAQ 2-State SQQQ),DEFENSIVE,SQQQ,130540.10668315308,-0.8032603665420555,0.4078998197666622,0.9630453401945935,-0.21317247549173735,,True,False,True,False,True,True,False,,,,,1.460829943405245
2007-10-31,2007-10-31,Pre-GFC peak,A-RVol v3 (NASDAQ 2-State SQQQ),DEFENSIVE,SQQQ,186115.44198593104,-0.7195016553337861,0.2193398220474209,1.4773372234044226,0.05091415492721718,-0.008152192884588683,True,True,False,False,False,False,False,,,,,0.42573379718212134
2008-11-20,2008-11-20,GFC drawdown #1,A-RVol v3 (NASDAQ 2-State SQQQ),DEFENSIVE,SQQQ,922800.2406513538,0.0,0.5475105261252391,1.7132206390338158,-0.39048290952399867,-0.1282004998942159,True,True,True,True,True,True,False,,,,,3.958214271769619
2009-03-09,2009-03-09,GFC maximum drawdown,A-RVol v3 (NASDAQ 2-State SQQQ),DEFENSIVE,SQQQ,672042.4215692129,-0.27173575388877746,0.34248479563690964,0.920458006908703,-0.3511533266013387,-0.08863186369373954,True,False,True,True,True,True,False,,,,,-0.27173575388877746
2021-11-19,2021-11-19,Pre-2022 peak,A-RVol v3 (NASDAQ 2-State SQQQ),AGGRESSIVE,TQQQ,13588406.973294558,0.0,0.11548606534257817,0.7176053528741864,0.10422114522318449,-0.007775225404536346,False,False,False,False,False,False,False,,,,,19.21956730285828
2022-12-28,2022-12-28,2022 drawdown,A-RVol v3 (NASDAQ 2-State SQQQ),DEFENSIVE,SQQQ,17409745.4597514,-0.3583653768039491,0.2239936768660955,0.7092824771713787,-0.051128135694823884,-0.012156918204031975,True,False,True,False,False,False,False,,,,,0.28122049140616423
2024-12-16,2024-12-16,Pre-tariff peak,A-RVol v3 (NASDAQ 2-State SQQQ),AGGRESSIVE,TQQQ,68338896.43679793,-0.15576375958759137,0.1321560994901694,0.7880714768139414,0.10761585610680013,-0.0003205732732888267,False,False,False,False,False,False,False,,,,,2.925324272821032
2025-04-08,2025-04-08,Tariff drawdown,A-RVol v3 (NASDAQ 2-State SQQQ),DEFENSIVE,SQQQ,104404449.25899488,0.0,0.38552157385838437,2.029839162315916,-0.1299527002256654,-0.014212886839980232,True,True,True,False,True,True,False,,,,,0.5277456134450687
2025-10-29,2025-10-29,Pre-Iran-war peak,A-RVol v3 (NASDAQ 2-State SQQQ),MODERATE,TQQQ,111462428.72047217,0.0,0.21482579791223508,1.0764279926937526,0.13473523391397113,-0.006980501070496525,True,False,False,False,False,False,False,,,,,0.0676022862202803
2026-03-30,2026-03-30,Iran-war drawdown,A-RVol v3 (NASDAQ 2-State SQQQ),DEFENSIVE,SQQQ,63658162.98081637,-0.4288823264343211,0.1811813254369945,0.9637448483901367,-0.03977285717358536,0.00534541443353409,True,False,True,False,True,False,False,,,,,-0.4288823264343211
2026-06-02,2026-06-02,Latest/current peak,A-RVol v3 (NASDAQ 2-State SQQQ),MODERATE,TQQQ,60285243.16187884,-0.45914292507421095,0.14255988210954268,0.924848179125781,0.11722502234640508,-0.0035892243877830854,False,False,False,False,False,False,False,,,,,-0.05298487516760375
2000-03-27,2000-03-27,Dot-com peak,A-RVol v3 (NASDAQ 2-State),DEFENSIVE,TBILL,4188799.037110436,0.0,0.45943480176615736,1.267985764374232,0.11022538583421482,,True,True,False,False,False,False,False,,,,,
2002-10-04,2002-10-04,Dot-com max drawdown,A-RVol v3 (NASDAQ 2-State),DEFENSIVE,XLE,2076045.1869115748,-0.5645208859042354,0.4078998197666622,0.9630453401945935,-0.21317247549173735,,True,False,True,False,True,True,False,,,,,-0.504381764673128
2007-10-31,2007-10-31,Pre-GFC peak,A-RVol v3 (NASDAQ 2-State),DEFENSIVE,GLD,8935105.754310856,0.0,0.2193398220474209,1.4773372234044226,0.05091415492721718,-0.008152192884588683,True,True,False,False,False,False,False,,,,,3.3039071647583693
2008-11-20,2008-11-20,GFC drawdown #1,A-RVol v3 (NASDAQ 2-State),DEFENSIVE,XLE,4902858.766448784,-0.5649868000283175,0.5475105261252391,1.7132206390338158,-0.39048290952399867,-0.1282004998942159,True,True,True,True,True,True,False,,,,,-0.45128139484153984
2009-03-09,2009-03-09,GFC maximum drawdown,A-RVol v3 (NASDAQ 2-State),DEFENSIVE,XLE,4792629.197628112,-0.5747670771581258,0.34248479563690964,0.920458006908703,-0.3511533266013387,-0.08863186369373954,True,False,True,True,True,True,False,,,,,-0.022482713468108595
2021-11-19,2021-11-19,Pre-2022 peak,A-RVol v3 (NASDAQ 2-State),AGGRESSIVE,TQQQ,3932421152.526684,0.0,0.11548606534257817,0.7176053528741864,0.10422114522318449,-0.007775225404536346,False,False,False,False,False,False,False,,,,,819.5143753814403
2022-12-28,2022-12-28,2022 drawdown,A-RVol v3 (NASDAQ 2-State),DEFENSIVE,XLE,4333516485.013183,-0.04231130145482587,0.2239936768660955,0.7092824771713787,-0.051128135694823884,-0.012156918204031975,True,False,True,False,False,False,False,,,,,0.10199704378784169
2024-12-16,2024-12-16,Pre-tariff peak,A-RVol v3 (NASDAQ 2-State),AGGRESSIVE,TQQQ,26747547363.8273,0.0,0.1321560994901694,0.7880714768139414,0.10761585610680013,-0.0003205732732888267,False,False,False,False,False,False,False,,,,,5.172250055198748
2025-04-08,2025-04-08,Tariff drawdown,A-RVol v3 (NASDAQ 2-State),DEFENSIVE,GLD,26561787934.420918,-0.08333237361283374,0.38552157385838437,2.029839162315916,-0.1299527002256654,-0.014212886839980232,True,True,True,False,True,True,False,,,,,-0.006944914495509935
2025-10-29,2025-10-29,Pre-Iran-war peak,A-RVol v3 (NASDAQ 2-State),MODERATE,TQQQ,58491624933.722305,0.0,0.21482579791223508,1.0764279926937526,0.13473523391397113,-0.006980501070496525,True,False,False,False,False,False,False,,,,,1.2020966765540702
2026-03-30,2026-03-30,Iran-war drawdown,A-RVol v3 (NASDAQ 2-State),DEFENSIVE,XLU,36903230928.00059,-0.3690852157071005,0.1811813254369945,0.9637448483901367,-0.03977285717358536,0.00534541443353409,True,False,True,False,True,False,False,,,,,-0.3690852157071005
2026-06-02,2026-06-02,Latest/current peak,A-RVol v3 (NASDAQ 2-State),MODERATE,TQQQ,55708031862.32062,-0.047589600640361995,0.14255988210954268,0.924848179125781,0.11722502234640508,-0.0035892243877830854,False,False,False,False,False,False,False,,,,,0.5095705839688891
2000-03-27,2000-03-27,Dot-com peak,A-RVol v3 (NASDAQ Cash Defensive),DEFENSIVE,CASH,1631582.498588331,0.0,0.45943480176615736,1.267985764374232,0.11022538583421482,,True,True,False,False,False,False,False,,,,,
2002-10-04,2002-10-04,Dot-com max drawdown,A-RVol v3 (NASDAQ Cash Defensive),DEFENSIVE,CASH,1327647.3983200882,-0.2425987474882284,0.4078998197666622,0.9630453401945935,-0.21317247549173735,,True,False,True,False,True,True,False,,,,,-0.18628239793648926
2007-10-31,2007-10-31,Pre-GFC peak,A-RVol v3 (NASDAQ Cash Defensive),DEFENSIVE,CASH,3767786.645925272,0.0,0.2193398220474209,1.4773372234044226,0.05091415492721718,-0.008152192884588683,True,True,False,False,False,False,False,,,,,1.8379422508512158
2008-11-20,2008-11-20,GFC drawdown #1,A-RVol v3 (NASDAQ Cash Defensive),DEFENSIVE,CASH,4001619.33226386,0.0,0.5475105261252391,1.7132206390338158,-0.39048290952399867,-0.1282004998942159,True,True,True,True,True,True,False,,,,,0.062061021048383846
2009-03-09,2009-03-09,GFC maximum drawdown,A-RVol v3 (NASDAQ Cash Defensive),DEFENSIVE,CASH,4001619.33226386,0.0,0.34248479563690964,0.920458006908703,-0.3511533266013387,-0.08863186369373954,True,False,True,True,True,True,False,,,,,0.0
2021-11-19,2021-11-19,Pre-2022 peak,A-RVol v3 (NASDAQ Cash Defensive),AGGRESSIVE,TQQQ,804836715.3525918,0.0,0.11548606534257817,0.7176053528741864,0.10422114522318449,-0.007775225404536346,False,False,False,False,False,False,False,,,,,200.12775567216852
2022-12-28,2022-12-28,2022 drawdown,A-RVol v3 (NASDAQ Cash Defensive),DEFENSIVE,CASH,697542983.090374,-0.13331118003881492,0.2239936768660955,0.7092824771713787,-0.051128135694823884,-0.012156918204031975,True,False,True,False,False,False,False,,,,,-0.13331118003881492
2024-12-16,2024-12-16,Pre-tariff peak,A-RVol v3 (NASDAQ Cash Defensive),AGGRESSIVE,TQQQ,2567126839.158202,0.0,0.1321560994901694,0.7880714768139414,0.10761585610680013,-0.0003205732732888267,False,False,False,False,False,False,False,,,,,2.6802417935377667
2025-04-08,2025-04-08,Tariff drawdown,A-RVol v3 (NASDAQ Cash Defensive),DEFENSIVE,CASH,2420182255.051998,-0.10918984814509658,0.38552157385838437,2.029839162315916,-0.1299527002256654,-0.014212886839980232,True,True,True,False,True,True,False,,,,,-0.057240874063857805
2025-10-29,2025-10-29,Pre-Iran-war peak,A-RVol v3 (NASDAQ Cash Defensive),MODERATE,QLD,4111427449.795754,-0.008954760198389922,0.21482579791223508,1.0764279926937526,0.13473523391397113,-0.006980501070496525,True,False,False,False,False,False,False,,,,,0.6988090220120298
2026-03-30,2026-03-30,Iran-war drawdown,A-RVol v3 (NASDAQ Cash Defensive),DEFENSIVE,CASH,2919887336.6119356,-0.2961713465599364,0.1811813254369945,0.9637448483901367,-0.03977285717358536,0.00534541443353409,True,False,True,False,True,False,False,,,,,-0.28981178136635033
2026-06-02,2026-06-02,Latest/current peak,A-RVol v3 (NASDAQ Cash Defensive),MODERATE,QLD,3848646801.077184,-0.07229711858962329,0.14255988210954268,0.924848179125781,0.11722502234640508,-0.0035892243877830854,False,False,False,False,False,False,False,,,,,0.3180805823634709
2000-03-27,2000-03-27,Dot-com peak,A-RVol v3 (NASDAQ QQQ Moderate),DEFENSIVE,CASH,632270.4009350017,0.0,0.45943480176615736,1.267985764374232,0.11022538583421482,,True,True,False,False,False,False,False,,,,,
2002-10-04,2002-10-04,Dot-com max drawdown,A-RVol v3 (NASDAQ QQQ Moderate),DEFENSIVE,XLE,385463.8294043532,-0.4144832853086675,0.4078998197666622,0.9630453401945935,-0.21317247549173735,,True,False,True,False,True,True,False,,,,,-0.3903497161430787
2007-10-31,2007-10-31,Pre-GFC peak,A-RVol v3 (NASDAQ QQQ Moderate),DEFENSIVE,GLD,825541.9615589101,0.0,0.2193398220474209,1.4773372234044226,0.05091415492721718,-0.008152192884588683,True,True,False,False,False,False,False,,,,,1.1416846370114615
2008-11-20,2008-11-20,GFC drawdown #1,A-RVol v3 (NASDAQ QQQ Moderate),DEFENSIVE,XLE,427141.2104135103,-0.5898099981404705,0.5475105261252391,1.7132206390338158,-0.39048290952399867,-0.1282004998942159,True,True,True,True,True,True,False,,,,,-0.48259297491441955
2009-03-09,2009-03-09,GFC maximum drawdown,A-RVol v3 (NASDAQ QQQ Moderate),DEFENSIVE,XLE,417537.9169693621,-0.5990321824197614,0.34248479563690964,0.920458006908703,-0.3511533266013387,-0.08863186369373954,True,False,True,True,True,True,False,,,,,-0.02248271346810904
2021-11-19,2021-11-19,Pre-2022 peak,A-RVol v3 (NASDAQ QQQ Moderate),AGGRESSIVE,TQQQ,34804566.277362876,0.0,0.11548606534257817,0.7176053528741864,0.10422114522318449,-0.007775225404536346,False,False,False,False,False,False,False,,,,,82.35666022857691
2022-12-28,2022-12-28,2022 drawdown,A-RVol v3 (NASDAQ QQQ Moderate),DEFENSIVE,XLE,41038360.52358015,-0.04231130145482598,0.2239936768660955,0.7092824771713787,-0.051128135694823884,-0.012156918204031975,True,False,True,False,False,False,False,,,,,0.1791085168692872
2024-12-16,2024-12-16,Pre-tariff peak,A-RVol v3 (NASDAQ QQQ Moderate),AGGRESSIVE,TQQQ,116158033.77666582,0.0,0.1321560994901694,0.7880714768139414,0.10761585610680013,-0.0003205732732888267,False,False,False,False,False,False,False,,,,,1.830474519320108
2025-04-08,2025-04-08,Tariff drawdown,A-RVol v3 (NASDAQ QQQ Moderate),DEFENSIVE,GLD,106505244.90776014,-0.10962233923421294,0.38552157385838437,2.029839162315916,-0.1299527002256654,-0.014212886839980232,True,True,True,False,True,True,False,,,,,-0.0831004843579296
2025-10-29,2025-10-29,Pre-Iran-war peak,A-RVol v3 (NASDAQ QQQ Moderate),MODERATE,QQQ,180907181.9634539,-0.05847190769932009,0.21482579791223508,1.0764279926937526,0.13473523391397113,-0.006980501070496525,True,False,False,False,False,False,False,,,,,0.6985753342018999
2026-03-30,2026-03-30,Iran-war drawdown,A-RVol v3 (NASDAQ QQQ Moderate),DEFENSIVE,XLU,150243284.86791307,-0.21806159464000385,0.1811813254369945,0.9637448483901367,-0.03977285717358536,0.00534541443353409,True,False,True,False,True,False,False,,,,,-0.16950071723374371
2026-06-02,2026-06-02,Latest/current peak,A-RVol v3 (NASDAQ QQQ Moderate),MODERATE,QQQ,174231906.51846868,-0.09321325564960858,0.14255988210954268,0.924848179125781,0.11722502234640508,-0.0035892243877830854,False,False,False,False,False,False,False,,,,,0.15966518351648995
2000-03-27,2000-03-27,Dot-com peak,A-RVol v3 (NASDAQ),DEFENSIVE,CASH,1631582.498588331,0.0,0.45943480176615736,1.267985764374232,0.11022538583421482,,True,True,False,False,False,False,False,,,,,
2002-10-04,2002-10-04,Dot-com max drawdown,A-RVol v3 (NASDAQ),DEFENSIVE,XLE,887638.8683778334,-0.49361645905518114,0.4078998197666622,0.9630453401945935,-0.21317247549173735,,True,False,True,False,True,True,False,,,,,-0.45596445834284727
2007-10-31,2007-10-31,Pre-GFC peak,A-RVol v3 (NASDAQ),DEFENSIVE,GLD,2791016.7646146556,0.0,0.2193398220474209,1.4773372234044226,0.05091415492721718,-0.008152192884588683,True,True,False,False,False,False,False,,,,,2.144315626596275
2008-11-20,2008-11-20,GFC drawdown #1,A-RVol v3 (NASDAQ),DEFENSIVE,XLE,1479707.8010756553,-0.5796933438503937,0.5475105261252391,1.7132206390338158,-0.39048290952399867,-0.1282004998942159,True,True,True,True,True,True,False,,,,,-0.4698319910378781
2009-03-09,2009-03-09,GFC maximum drawdown,A-RVol v3 (NASDAQ),DEFENSIVE,XLE,1446439.9545675442,-0.5891429779693447,0.34248479563690964,0.920458006908703,-0.3511533266013387,-0.08863186369373954,True,False,True,True,True,True,False,,,,,-0.022482713468110038
2021-11-19,2021-11-19,Pre-2022 peak,A-RVol v3 (NASDAQ),AGGRESSIVE,TQQQ,392466018.10453767,0.0,0.11548606534257817,0.7176053528741864,0.10422114522318449,-0.007775225404536346,False,False,False,False,False,False,False,,,,,270.3323956969074
2022-12-28,2022-12-28,2022 drawdown,A-RVol v3 (NASDAQ),DEFENSIVE,XLE,448298981.9236394,-0.04231130145482598,0.2239936768660955,0.7092824771713787,-0.051128135694823884,-0.012156918204031975,True,False,True,False,False,False,False,,,,,0.14226190611037826
2024-12-16,2024-12-16,Pre-tariff peak,A-RVol v3 (NASDAQ),AGGRESSIVE,TQQQ,1887702252.6170535,0.0,0.1321560994901694,0.7880714768139414,0.10761585610680013,-0.0003205732732888267,False,False,False,False,False,False,False,,,,,3.210810929163773
2025-04-08,2025-04-08,Tariff drawdown,A-RVol v3 (NASDAQ),DEFENSIVE,GLD,1805136797.000413,-0.09643159251467937,0.38552157385838437,2.029839162315916,-0.1299527002256654,-0.014212886839980232,True,True,True,False,True,True,False,,,,,-0.043738600990794185
2025-10-29,2025-10-29,Pre-Iran-war peak,A-RVol v3 (NASDAQ),MODERATE,QLD,3462719929.2084427,-0.008954760198389922,0.21482579791223508,1.0764279926937526,0.13473523391397113,-0.006980501070496525,True,False,False,False,False,False,False,,,,,0.9182590122601388
2026-03-30,2026-03-30,Iran-war drawdown,A-RVol v3 (NASDAQ),DEFENSIVE,XLU,2512335866.7282424,-0.2809587398328691,0.1811813254369945,0.9637448483901367,-0.03977285717358536,0.00534541443353409,True,False,True,False,True,False,False,,,,,-0.27446171850735046
2026-06-02,2026-06-02,Latest/current peak,A-RVol v3 (NASDAQ),MODERATE,QLD,3328768586.4503036,-0.047292206864437136,0.14255988210954268,0.924848179125781,0.11722502234640508,-0.0035892243877830854,False,False,False,False,False,False,False,,,,,0.3249695753399735
2021-11-19,2021-11-19,Pre-2022 peak,A-RVol v3 (S&P 500),AGGRESSIVE,UPRO,3616230.877774387,-0.004796145350756564,0.06455374294116234,0.5457093666670277,0.10422114522318449,-0.007775225404536346,False,False,False,False,False,False,False,,,,,
2022-12-28,2022-12-28,2022 drawdown,A-RVol v3 (S&P 500),DEFENSIVE,GLD,3372418.3093777904,-0.08922768443370654,0.1788320091158123,0.7587213370609756,-0.051128135694823884,-0.012156918204031975,False,False,True,False,False,False,False,,,,,-0.06742173733847756
2024-12-16,2024-12-16,Pre-tariff peak,A-RVol v3 (S&P 500),AGGRESSIVE,UPRO,9196516.014349064,-0.008544468947677797,0.06724947100974522,0.5785687678315786,0.10761585610680013,-0.0003205732732888267,False,False,False,False,False,False,False,,,,,1.7269796243176656
2025-04-08,2025-04-08,Tariff drawdown,A-RVol v3 (S&P 500),DEFENSIVE,GLD,8798610.349033399,-0.07490682273102878,0.3447409137418732,2.5799197452892813,-0.1299527002256654,-0.014212886839980232,True,True,True,False,True,True,False,,,,,-0.043267000752766016
2025-10-29,2025-10-29,Pre-Iran-war peak,A-RVol v3 (S&P 500),AGGRESSIVE,UPRO,14258492.537063602,0.0,0.16109605652246167,1.0199744816292478,0.13473523391397113,-0.006980501070496525,False,False,False,False,False,False,False,,,,,0.6205391500977218
2026-03-30,2026-03-30,Iran-war drawdown,A-RVol v3 (S&P 500),DEFENSIVE,XLE,11281521.530873297,-0.21955705548728222,0.1510148220113508,1.0052498538010812,-0.03977285717358536,0.00534541443353409,False,False,True,False,True,False,True,SPY Breakdown,,,,-0.20878581648459338
2026-06-02,2026-06-02,Latest/current peak,A-RVol v3 (S&P 500),AGGRESSIVE,UPRO,11870039.517830443,-0.1788440444468311,0.09009075804408719,0.7775433864385729,0.11722502234640508,-0.0035892243877830854,False,False,False,False,False,False,False,,,,,0.05216654378991281
2021-11-19,2021-11-19,Pre-2022 peak,A-RVol v3 (Semiconductors),MODERATE,USD,2728936.488067243,0.0,0.25090818873247855,0.9290748999930406,0.10422114522318449,-0.007775225404536346,True,False,False,False,False,False,False,,,,,
2022-12-28,2022-12-28,2022 drawdown,A-RVol v3 (Semiconductors),DEFENSIVE,XLU,2510216.8046804275,-0.09127415498721636,0.3189244686001001,0.7591618867204767,-0.051128135694823884,-0.012156918204031975,True,False,True,False,False,False,False,,,,,-0.08014832310799669
2024-12-16,2024-12-16,Pre-tariff peak,A-RVol v3 (Semiconductors),MODERATE,USD,6637284.679903081,-0.19136472698622975,0.2638398905022254,0.7980986881994552,0.10761585610680013,-0.0003205732732888267,True,False,False,False,False,False,False,,,,,1.6441081374037192
2025-04-08,2025-04-08,Tariff drawdown,A-RVol v3 (Semiconductors),DEFENSIVE,GLD,6552572.849978467,-0.20168535914564256,0.525726140268112,1.4623492685992943,-0.1299527002256654,-0.014212886839980232,True,True,True,False,True,True,False,,,,,-0.012763024943183598
2025-10-29,2025-10-29,Pre-Iran-war peak,A-RVol v3 (Semiconductors),DEFENSIVE,GLD,11256438.117114762,-0.1444255867786821,0.385463026447873,1.1573329891162234,0.13473523391397113,-0.006980501070496525,True,False,False,False,False,False,False,,,,,0.7178653904094712
2026-03-30,2026-03-30,Iran-war drawdown,A-RVol v3 (Semiconductors),DEFENSIVE,XLE,10000577.918632641,-0.2398804581354269,0.3235595383460425,1.000799180410017,-0.03977285717358536,0.00534541443353409,True,False,True,False,True,True,False,,,,,-0.11156816973680672
2026-06-02,2026-06-02,Latest/current peak,A-RVol v3 (Semiconductors),DEFENSIVE,GLD,10091155.943589378,-0.23299584332683332,0.3793754092958296,1.2938806573194506,0.11722502234640508,-0.0035892243877830854,True,True,False,False,False,False,False,,,,,0.009057279058640733
2000-03-27,,Dot-com peak,Buy & Hold,,,,,,,,,,,,,,,,,276.303757813,27.1977525316,99.2202835083,
2002-10-04,,Dot-com max drawdown,Buy & Hold,,,,,,,,,,,,,,,,,0.128416856867,0.347860156141,17.1476192474,
2007-10-31,,Pre-GFC peak,Buy & Hold,,,,,,,,,,,,,,,,,1.00305983558,1.7737044096,47.2291755676,
2008-11-20,,GFC drawdown #1,Buy & Hold,,,,,,,,,,,,,,,,,0.0564789150641,0.31496989727,22.0069026947,
2009-03-09,,GFC maximum drawdown,Buy & Hold,,,,,,,,,,,,,,,,,0.0488012017184,0.299244016409,22.1940593719,
2021-11-19,,Pre-2022 peak,Buy & Hold,,,,,,,,,,,,,,,,,42.2007217407,45.6228370667,392.502624512,
2022-12-28,,2022 drawdown,Buy & Hold,,,,,,,,,,,,,,,,,7.7396774292,16.5681667328,254.89163208,
2024-12-16,,Pre-tariff peak,Buy & Hold,,,,,,,,,,,,,,,,,45.9261741638,59.9206314087,533.332946777,
2025-04-08,,Tariff drawdown,Buy & Hold,,,,,,,,,,,,,,,,,19.2705879211,34.5801887512,413.601257324,
2025-10-29,,Pre-Iran-war peak,Buy & Hold,,,,,,,,,,,,,,,,,59.9732513428,76.2938156128,633.456237793,
2026-03-30,,Iran-war drawdown,Buy & Hold,,,,,,,,,,,,,,,,,37.8029594421,57.1217765808,557.667175293,
2026-06-02,,Latest/current peak,Buy & Hold,,,,,,,,,,,,,,,,,87.0196456909,100.462776184,745.340881348,
