Section,Rank,Strategy,Date,From State,To State,From Asset,To Asset,Trade,Whipsaw,Duration Days,Exit Timing,Re-entry Timing,Downside Avoided,Whipsaw Severity,Transition Quality
TOP_LATE_EXITS,18,A-RVol v3 (NASDAQ 2-State Cash),2026-06-08,MODERATE,DEFENSIVE,TQQQ,CASH,True,False,34,-0.1794187666234452,,-0.0618908591342638,,63.42101673592767
TOP_LATE_EXITS,19,A-RVol v3 (NASDAQ 2-State),2026-06-08,MODERATE,DEFENSIVE,TQQQ,TLT,True,False,34,-0.1794187666234452,,-0.0618908591342638,,63.42101673592767
TOP_LATE_EXITS,20,A-RVol v3 (Semiconductors),2015-08-14,MODERATE,DEFENSIVE,USD,TLT,True,False,8,-0.168928151355139,,0.0,,59.72862183738331
TOP_LATE_RE-ENTRIES,1,A-RVol v3 (NASDAQ 2-State Cash),2000-08-24,DEFENSIVE,MODERATE,CASH,TQQQ,True,False,17,,0.3813577524389044,,,41.806245798610746
TOP_LATE_RE-ENTRIES,2,A-RVol v3 (NASDAQ 2-State),2000-08-24,DEFENSIVE,MODERATE,TLT,TQQQ,True,False,17,,0.3813577524389044,,,41.806245798610746
TOP_LATE_RE-ENTRIES,3,A-RVol v3 (NASDAQ 2-State SQQQ),2000-08-24,DEFENSIVE,MODERATE,SQQQ,TQQQ,True,False,17,,0.3813577524389044,,,41.806245798610746
TOP_LATE_RE-ENTRIES,4,A-RVol v3 (Semiconductors),2025-11-03,DEFENSIVE,MODERATE,TLT,USD,True,False,15,,0.3014567647323056,,,39.26394792628434
TOP_LATE_RE-ENTRIES,5,A-RVol v3 (NASDAQ 2-State),1999-07-08,DEFENSIVE,MODERATE,TLT,TQQQ,True,False,69,,0.2910211586878233,,,50.41872440272559
TOP_LATE_RE-ENTRIES,6,A-RVol v3 (NASDAQ 2-State Cash),1999-07-08,DEFENSIVE,MODERATE,CASH,TQQQ,True,False,70,,0.2910211586878233,,,50.41872440272559
TOP_LATE_RE-ENTRIES,7,A-RVol v3 (NASDAQ 2-State SQQQ),1999-07-08,DEFENSIVE,MODERATE,SQQQ,TQQQ,True,False,70,,0.2910211586878233,,,50.41872440272559
TOP_LATE_RE-ENTRIES,8,A-RVol v3 (NASDAQ),2000-08-24,DEFENSIVE,MODERATE,TLT,QLD,True,False,17,,0.2289275756897657,,,57.598624945558754
TOP_LATE_RE-ENTRIES,9,A-RVol v3 (NASDAQ Cash Defensive),2000-08-24,DEFENSIVE,MODERATE,CASH,QLD,True,False,17,,0.2289275756897657,,,57.598624945558754
TOP_LATE_RE-ENTRIES,10,A-RVol v3 (S&P 500),2022-01-12,DEFENSIVE,MODERATE,TLT,SSO,True,False,11,,0.1956953257882097,,,48.41594585461012
TOP_LATE_RE-ENTRIES,11,A-RVol v3 (Semiconductors),2025-02-18,DEFENSIVE,MODERATE,TLT,USD,True,False,7,,0.1946430420437319,,,43.60844491899741
TOP_LATE_RE-ENTRIES,12,A-RVol v3 (Semiconductors),2024-04-01,DEFENSIVE,MODERATE,TLT,USD,True,False,14,,0.1922620217381789,,,51.81607628437626
TOP_LATE_RE-ENTRIES,13,A-RVol v3 (NASDAQ 2-State SQQQ),2020-10-23,DEFENSIVE,MODERATE,SQQQ,TQQQ,True,False,27,,0.1860366559590831,,,64.6246259413976
TOP_LATE_RE-ENTRIES,14,A-RVol v3 (NASDAQ 2-State Cash),2020-10-23,DEFENSIVE,MODERATE,CASH,TQQQ,True,False,27,,0.1860366559590831,,,64.6246259413976
TOP_LATE_RE-ENTRIES,15,A-RVol v3 (NASDAQ 2-State),2020-10-23,DEFENSIVE,MODERATE,TLT,TQQQ,True,False,26,,0.1860366559590831,,,64.6246259413976
TOP_LATE_RE-ENTRIES,16,A-RVol v3 (Semiconductors),2021-04-27,DEFENSIVE,MODERATE,TLT,USD,True,False,11,,0.1790659426115053,,,48.81113460285278
TOP_LATE_RE-ENTRIES,17,A-RVol v3 (NASDAQ),1999-07-08,DEFENSIVE,MODERATE,TLT,QLD,True,False,70,,0.1749729677335048,,,62.58843326180888
TOP_LATE_RE-ENTRIES,18,A-RVol v3 (NASDAQ Cash Defensive),1999-07-08,DEFENSIVE,MODERATE,CASH,QLD,True,False,70,,0.1749729677335048,,,62.58843326180888
TOP_LATE_RE-ENTRIES,19,A-RVol v3 (NASDAQ 2-State Cash),1998-01-06,DEFENSIVE,MODERATE,CASH,TQQQ,True,False,58,,0.1741392831964223,,,79.10328601642931
TOP_LATE_RE-ENTRIES,20,A-RVol v3 (NASDAQ 2-State),1998-01-06,DEFENSIVE,MODERATE,TLT,TQQQ,True,False,58,,0.1741392831964223,,,79.10328601642931
TOP_WHIPSAWS,1,A-RVol v3 (NASDAQ 2-State Cash),1998-08-27,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,3,-0.3912752067951167,,-0.0256228960314072,0.3912752067951167,35.09680686709857
TOP_WHIPSAWS,2,A-RVol v3 (NASDAQ 2-State),1998-08-27,MODERATE,DEFENSIVE,TQQQ,TLT,True,True,3,-0.3912752067951167,,-0.0256228960314072,0.3912752067951167,35.09680686709857
TOP_WHIPSAWS,3,A-RVol v3 (NASDAQ 2-State SQQQ),1998-08-27,MODERATE,DEFENSIVE,TQQQ,SQQQ,True,True,3,-0.3912752067951167,,-0.0256228960314072,0.3912752067951167,35.09680686709857
TOP_WHIPSAWS,4,A-RVol v3 (NASDAQ),1998-08-27,MODERATE,DEFENSIVE,QLD,TLT,True,True,3,-0.2650937730382533,,-0.0167912402494935,0.2650937730382533,49.53204645536909
TOP_WHIPSAWS,5,A-RVol v3 (NASDAQ Cash Defensive),1998-08-27,MODERATE,DEFENSIVE,QLD,CASH,True,True,3,-0.2650937730382533,,-0.0167912402494935,0.2650937730382533,49.53204645536909
TOP_WHIPSAWS,6,A-RVol v3 (NASDAQ 2-State Cash),1997-10-24,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,2,-0.2435434820855706,,-0.1935010219114414,0.2435434820855706,66.25486390264683
TOP_WHIPSAWS,7,A-RVol v3 (NASDAQ 2-State),1997-10-24,MODERATE,DEFENSIVE,TQQQ,TLT,True,True,2,-0.2435434820855706,,-0.1935010219114414,0.2435434820855706,66.25486390264683
TOP_WHIPSAWS,8,A-RVol v3 (NASDAQ 2-State SQQQ),1997-10-24,MODERATE,DEFENSIVE,TQQQ,SQQQ,True,True,2,-0.2435434820855706,,-0.1935010219114414,0.2435434820855706,66.25486390264683
TOP_WHIPSAWS,9,A-RVol v3 (NASDAQ 2-State Cash),2015-08-21,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,3,-0.2277175398496347,,-0.0568303938234581,0.2277175398496347,57.22032672392048
TOP_WHIPSAWS,10,A-RVol v3 (NASDAQ 2-State),2015-08-21,MODERATE,DEFENSIVE,TQQQ,TLT,True,True,3,-0.2277175398496347,,-0.0568303938234581,0.2277175398496347,57.22032672392048
TOP_WHIPSAWS,11,A-RVol v3 (NASDAQ 2-State SQQQ),2015-08-21,MODERATE,DEFENSIVE,TQQQ,SQQQ,True,True,3,-0.2277175398496347,,-0.0568303938234581,0.2277175398496347,57.22032672392048
TOP_WHIPSAWS,12,A-RVol v3 (NASDAQ 2-State Cash),2010-05-06,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,2,-0.1656039803705303,,-0.2246359974681079,0.1656039803705303,78.09840215298499
TOP_WHIPSAWS,13,A-RVol v3 (NASDAQ 2-State),2010-05-06,MODERATE,DEFENSIVE,TQQQ,TLT,True,True,2,-0.1656039803705303,,-0.2246359974681079,0.1656039803705303,78.09840215298499
TOP_WHIPSAWS,14,A-RVol v3 (NASDAQ 2-State SQQQ),2010-05-06,MODERATE,DEFENSIVE,TQQQ,SQQQ,True,True,2,-0.1656039803705303,,-0.2246359974681079,0.1656039803705303,78.09840215298499
TOP_WHIPSAWS,15,A-RVol v3 (NASDAQ 2-State SQQQ),1995-10-04,MODERATE,DEFENSIVE,TQQQ,SQQQ,True,True,5,-0.163270951213431,,0.0,0.163270951213431,60.40748585438827
TOP_WHIPSAWS,16,A-RVol v3 (NASDAQ 2-State Cash),1995-10-04,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,5,-0.163270951213431,,0.0,0.163270951213431,60.40748585438827
TOP_WHIPSAWS,17,A-RVol v3 (NASDAQ Cash Defensive),1997-10-24,MODERATE,DEFENSIVE,QLD,CASH,True,True,2,-0.1575849689390488,,-0.1294820996242617,0.1575849689390488,71.44837169725508
TOP_WHIPSAWS,18,A-RVol v3 (NASDAQ),1997-10-24,MODERATE,DEFENSIVE,QLD,TLT,True,True,2,-0.1575849689390488,,-0.1294820996242617,0.1575849689390488,71.44837169725508
TOP_WHIPSAWS,19,A-RVol v3 (NASDAQ 2-State Cash),2009-07-06,MODERATE,DEFENSIVE,TQQQ,CASH,True,True,1,-0.1552454981623757,,0.0,0.1552454981623757,61.37054022051491
TOP_WHIPSAWS,20,A-RVol v3 (NASDAQ 2-State SQQQ),2009-07-06,MODERATE,DEFENSIVE,TQQQ,SQQQ,True,True,1,-0.1552454981623757,,0.0,0.1552454981623757,61.37054022051491
