Strategy,Date,From State,To State,From Asset,To Asset,Trade,Whipsaw,Duration Days,Exit Timing,Re-entry Timing,Downside Avoided,Transition Quality
A-RVol v3 (NASDAQ),2009-07-08,MODERATE,DEFENSIVE,QLD,TLT,True,True,1,-0.09174093900586489,,0.0,68.99108731929621
A-RVol v3 (NASDAQ),2009-07-09,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),2009-07-10,MODERATE,DEFENSIVE,QLD,TLT,True,True,1,-0.048615466184594,,0.0,74.16614405784873
A-RVol v3 (NASDAQ),2009-07-13,DEFENSIVE,MODERATE,TLT,QLD,True,False,17,,0.0,,97.69227477392386
A-RVol v3 (NASDAQ),2009-08-05,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,8,,,,75.89247322847228
A-RVol v3 (NASDAQ),2009-08-17,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,10,,,,87.40492962966499
A-RVol v3 (NASDAQ),2009-08-31,MODERATE,DEFENSIVE,QLD,TLT,True,True,1,-0.05752774508233083,,-0.002041830008446266,73.260016990796
A-RVol v3 (NASDAQ),2009-09-01,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),2009-09-02,MODERATE,DEFENSIVE,QLD,TLT,True,True,1,-0.046620654600777245,,0.0,74.40552144790672
A-RVol v3 (NASDAQ),2009-09-03,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),2009-09-04,MODERATE,DEFENSIVE,QLD,TLT,True,True,1,0.013473165129331388,,0.0,80.0
A-RVol v3 (NASDAQ),2009-09-08,DEFENSIVE,MODERATE,TLT,QLD,True,False,10,,0.0,,84.20338991986797
A-RVol v3 (NASDAQ),2009-09-22,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,10,,,,60.67152013013809
A-RVol v3 (NASDAQ),2009-10-06,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,12,,,,84.9142516240434
A-RVol v3 (NASDAQ),2009-10-22,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,6,,,,54.257531401488244
A-RVol v3 (NASDAQ),2009-10-30,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,26,,,,92.25989583749305
A-RVol v3 (NASDAQ),2009-12-08,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,30,,,,94.8147915030896
A-RVol v3 (NASDAQ),2010-01-22,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,5,,,,
A-RVol v3 (NASDAQ),2010-01-29,MODERATE,DEFENSIVE,QLD,TLT,True,False,11,0.01782850112063805,,-0.007764869148803255,80.62118953190426
A-RVol v3 (NASDAQ),2010-02-16,DEFENSIVE,MODERATE,TLT,QLD,True,False,8,,0.007825634174172036,,78.4397343671951
A-RVol v3 (NASDAQ),2010-02-26,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,46,,,,98.62707989396185
A-RVol v3 (NASDAQ),2010-05-04,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,2,,,,
A-RVol v3 (NASDAQ),2010-05-06,MODERATE,DEFENSIVE,QLD,TLT,True,True,2,-0.10846705858298356,,-0.1492935525913922,78.92743717735334
A-RVol v3 (NASDAQ),2010-05-10,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),2010-05-11,MODERATE,DEFENSIVE,QLD,TLT,True,False,54,-0.015972105900326716,,-0.10370671463644399,86.3798844628763
A-RVol v3 (NASDAQ),2010-07-28,DEFENSIVE,MODERATE,TLT,QLD,True,False,17,,0.06302111757978635,,75.54018296231605
A-RVol v3 (NASDAQ),2010-08-20,MODERATE,DEFENSIVE,QLD,TLT,True,False,16,0.007995890088543511,,0.0,80.0
A-RVol v3 (NASDAQ),2010-09-14,DEFENSIVE,MODERATE,TLT,QLD,True,False,8,,0.0,,84.84379730275306
A-RVol v3 (NASDAQ),2010-09-24,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,47,,,,81.21777354066963
A-RVol v3 (NASDAQ),2010-12-01,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,11,,,,82.93579751440205
A-RVol v3 (NASDAQ),2010-12-16,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,52,,,,91.56393345563737
A-RVol v3 (NASDAQ),2011-03-03,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,24,,,,58.588588139906236
A-RVol v3 (NASDAQ),2011-04-06,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,48,,,,77.85712839167243
A-RVol v3 (NASDAQ),2011-06-15,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,1,,,,
A-RVol v3 (NASDAQ),2011-06-16,MODERATE,DEFENSIVE,QLD,TLT,True,True,4,-0.01952817770806936,,-0.016984250583682803,79.0153587217263
A-RVol v3 (NASDAQ),2011-06-22,DEFENSIVE,MODERATE,TLT,QLD,True,False,28,,0.0172776993591075,,90.98631410341362
A-RVol v3 (NASDAQ),2011-08-02,MODERATE,DEFENSIVE,QLD,TLT,True,False,99,-0.06580360289613085,,0.0,72.1035676524643
A-RVol v3 (NASDAQ),2011-12-21,DEFENSIVE,MODERATE,TLT,QLD,True,False,14,,0.0,,87.86291734919158
A-RVol v3 (NASDAQ),2012-01-12,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,71,,,,96.2321018437408
A-RVol v3 (NASDAQ),2012-04-25,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,15,,,,69.1587713672788
A-RVol v3 (NASDAQ),2012-05-16,MODERATE,AGGRESSIVE,QLD,TQQQ,True,True,3,,,,
A-RVol v3 (NASDAQ),2012-05-21,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,7,,,,79.30600602852662
A-RVol v3 (NASDAQ),2012-05-31,MODERATE,DEFENSIVE,QLD,TLT,True,True,1,-0.07705827728483217,,0.0,70.75300672582014
A-RVol v3 (NASDAQ),2012-06-01,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),2012-06-04,MODERATE,DEFENSIVE,QLD,TLT,True,True,1,-0.05515354053747845,,0.0,73.38157513550259
A-RVol v3 (NASDAQ),2012-06-05,DEFENSIVE,MODERATE,TLT,QLD,True,False,49,,0.0,,90.18419621632219
A-RVol v3 (NASDAQ),2012-08-14,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,58,,,,85.53428697745065
A-RVol v3 (NASDAQ),2012-11-07,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,16,,,,70.7471167336066
A-RVol v3 (NASDAQ),2012-11-30,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,21,,,,68.10857997630409
A-RVol v3 (NASDAQ),2013-01-02,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,15,,,,77.18699410053955
A-RVol v3 (NASDAQ),2013-01-24,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,58,,,,80.50790528075268
A-RVol v3 (NASDAQ),2013-04-18,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,14,,,,89.99311194221617
A-RVol v3 (NASDAQ),2013-05-08,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,33,,,,79.58374388420378
A-RVol v3 (NASDAQ),2013-06-25,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,12,,,,87.62447150864433
A-RVol v3 (NASDAQ),2013-07-12,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,67,,,,78.45990355388236
A-RVol v3 (NASDAQ),2013-10-16,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,9,,,,83.13990690947206
A-RVol v3 (NASDAQ),2013-10-29,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,59,,,,76.92469418090411
A-RVol v3 (NASDAQ),2014-01-24,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,4,,,,
A-RVol v3 (NASDAQ),2014-01-30,MODERATE,DEFENSIVE,QLD,TLT,True,False,17,-0.0030550864766667463,,-0.03447614601881399,82.3914813043051
A-RVol v3 (NASDAQ),2014-02-25,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),2014-02-26,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,24,,,,73.09490347318054
A-RVol v3 (NASDAQ),2014-04-01,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,3,,,,
A-RVol v3 (NASDAQ),2014-04-04,MODERATE,DEFENSIVE,QLD,TLT,True,False,19,-0.003838069503916741,,-0.023727455978152068,81.43762813778216
A-RVol v3 (NASDAQ),2014-05-02,DEFENSIVE,MODERATE,TLT,QLD,True,False,10,,0.024304131180832522,,75.7855845313108
A-RVol v3 (NASDAQ),2014-05-16,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,97,,,,93.29377361088314
A-RVol v3 (NASDAQ),2014-10-03,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,3,,,,
A-RVol v3 (NASDAQ),2014-10-08,MODERATE,DEFENSIVE,QLD,TLT,True,False,23,0.005210928709026064,,0.0,80.0
A-RVol v3 (NASDAQ),2014-11-10,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),2014-11-11,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,26,,,,86.09199975296242
A-RVol v3 (NASDAQ),2014-12-18,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,1,,,,
A-RVol v3 (NASDAQ),2014-12-19,MODERATE,DEFENSIVE,QLD,TLT,True,False,39,0.0029396736967919335,,-0.03933185395892269,83.14654831671382
A-RVol v3 (NASDAQ),2015-02-18,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),2015-02-19,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,52,,,,73.13683701636717
A-RVol v3 (NASDAQ),2015-05-05,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,19,,,,81.95300219381201
A-RVol v3 (NASDAQ),2015-06-02,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,28,,,,65.72410187894825
A-RVol v3 (NASDAQ),2015-07-13,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,29,,,,86.61079183741586
A-RVol v3 (NASDAQ),2015-08-21,MODERATE,DEFENSIVE,QLD,TLT,True,True,3,-0.15116142246565423,,-0.037529940104035764,64.86302451244435
A-RVol v3 (NASDAQ),2015-08-26,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),2015-08-27,MODERATE,DEFENSIVE,QLD,TLT,True,False,36,0.011302016945657689,,-0.022889593363161653,81.83116746905293
A-RVol v3 (NASDAQ),2015-10-19,DEFENSIVE,MODERATE,TLT,QLD,True,False,35,,0.023425800408723996,,85.92458829263559
A-RVol v3 (NASDAQ),2015-12-08,MODERATE,DEFENSIVE,QLD,TLT,True,True,1,-0.040270199736111234,,-0.15062547654349911,87.21761415514658
A-RVol v3 (NASDAQ),2015-12-09,DEFENSIVE,MODERATE,TLT,QLD,True,True,2,,0.0,,
A-RVol v3 (NASDAQ),2015-12-11,MODERATE,DEFENSIVE,QLD,TLT,True,True,1,-0.0617313698661659,,-0.16707079411720505,85.95789914543649
A-RVol v3 (NASDAQ),2015-12-14,DEFENSIVE,MODERATE,TLT,QLD,True,False,13,,0.027055646859947657,,80.84341252430868
A-RVol v3 (NASDAQ),2016-01-04,MODERATE,DEFENSIVE,QLD,TLT,True,False,18,-0.0026665478187629654,,-0.14705904710465822,91.4447380301211
A-RVol v3 (NASDAQ),2016-01-29,DEFENSIVE,MODERATE,TLT,QLD,True,True,1,,0.0,,
A-RVol v3 (NASDAQ),2016-02-01,MODERATE,DEFENSIVE,QLD,TLT,True,False,26,-0.01910821305234478,,-0.002509047768410211,77.90773825519145
A-RVol v3 (NASDAQ),2016-03-09,DEFENSIVE,MODERATE,TLT,QLD,True,False,14,,0.002515358924105593,,83.90120042109348
A-RVol v3 (NASDAQ),2016-03-30,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,61,,,,76.4285384211422
A-RVol v3 (NASDAQ),2016-06-24,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,1,,,,
A-RVol v3 (NASDAQ),2016-06-27,MODERATE,DEFENSIVE,QLD,TLT,True,True,4,-0.015614407598772528,,-0.012522477091847617,79.1280692554951
A-RVol v3 (NASDAQ),2016-07-01,DEFENSIVE,MODERATE,TLT,QLD,True,False,11,,0.012681278106430716,,85.13472400261864
A-RVol v3 (NASDAQ),2016-07-19,MODERATE,AGGRESSIVE,QLD,TQQQ,True,False,220,,,,90.81159030545629
A-RVol v3 (NASDAQ),2017-06-02,AGGRESSIVE,MODERATE,TQQQ,QLD,True,True,4,,,,
A-RVol v3 (NASDAQ),2017-06-08,MODERATE,AGGRESSIVE,QLD,TQQQ,True,True,1,,,,
A-RVol v3 (NASDAQ),2017-06-09,AGGRESSIVE,MODERATE,TQQQ,QLD,True,False,6,,,,75.8557828767005
A-RVol v3 (NASDAQ),2017-06-19,MODERATE,DEFENSIVE,QLD,TLT,True,False,23,-0.0014223687697766385,,-0.044152378813917204,83.36150605274017
A-RVol v3 (NASDAQ),2017-07-21,DEFENSIVE,MODERATE,TLT,QLD,True,True,2,,0.0,,
